"gauge_code","nome","estado","lat","long","time_step","network","n_years_zip"
"13572000","Rio Branco","AC",-10.005,-68.5294,15,"Telemetria",2
"13578000","Rio Branco","AC",-10.0567,-67.9639,15,"Telemetria",2
"13600002","Rio Branco","AC",-9.975,-67.8008,15,"Telemetria",2
"13610001","Porto Acre","AC",-9.5819,-67.5281,15,"Telemetria",3
"13650000","Boca do Acre","AM",-9.0667,-67.3969,15,"Telemetria",2
"13710001","Boca do Acre","AM",-8.6533,-67.375,15,"Telemetria",2
"13870000","Lábrea","AM",-7.2581,-64.7975,15,"Telemetria",1
"13885000","Lábrea","AM",-7.4644,-64.2433,15,"Telemetria",2
"13962000","Beruri","AM",-4.7286,-62.1453,15,"Telemetria",3
"13990000","Beruri","AM",-3.8989,-61.3742,15,"Telemetria",4
"140010001A","Boa Vista","RR",2.859961,-60.658979,10,"CEMADEN",2
"140010002A","Boa Vista","RR",2.806589,-60.674663,10,"CEMADEN",2
"140010003A","Boa Vista","RR",2.804488,-60.692624,10,"CEMADEN",2
"140010004A","Boa Vista","RR",2.804274,-60.739469,10,"CEMADEN",2
"140010005A","Boa Vista","RR",2.844432,-60.719258,10,"CEMADEN",2
"140070401A","Uiramutã","RR",4.594482,-60.162963,10,"CEMADEN",1
"14100000","Manacapuru","AM",-3.3106,-60.6094,15,"Telemetria",3
"14110000","São Gabriel da Cachoeira","AM",1.2153,-66.8525,15,"Telemetria",3
"14280001","São Gabriel da Cachoeira","AM",0.1303,-68.5386,15,"Telemetria",3
"14330000","São Gabriel da Cachoeira","AM",-0.2006,-66.8022,15,"Telemetria",2
"14480002","Barcelos","AM",-0.9658,-62.9311,15,"Telemetria",3
"14488000","Alto Alegre","RR",3.5497,-63.1692,15,"Telemetria",2
"14489000","Alto Alegre","RR",3.3528,-61.4222,15,"Telemetria",5
"14495000","Alto Alegre","RR",3.4381,-61.0367,15,"Telemetria",5
"14500000","Boa Vista","RR",3.4644,-60.9097,15,"Telemetria",2
"14515000","Boa Vista","RR",3.2078,-60.5711,15,"Telemetria",3
"14526400","Uiramuta","RR",4.5761,-60.1397,15,"Telemetria",1
"14527000","Normândia","RR",3.5675,-59.8883,15,"Telemetria",2
"14530000","Pacaraima","RR",4.1961,-60.7939,15,"Telemetria",3
"14540000","Uiramuta","RR",4.6306,-60.4706,15,"Telemetria",6
"14558000","Bonfim","RR",3.3178,-60.3447,15,"Telemetria",3
"14620000","Boa Vista","RR",2.8267,-60.6561,15,"Telemetria",2
"14680001","Mucajaí","RR",2.8708,-61.4406,15,"Telemetria",8
"14690000","Mucajaí","RR",2.4714,-60.9178,15,"Telemetria",1
"14710000","Caracaraí","RR",1.8214,-61.1236,15,"Telemetria",3
"14790000","Rorainópolis","RR",-0.5053,-61.7864,15,"Telemetria",3
"14840000","Barcelos","AM",-1.4567,-61.6347,15,"Telemetria",6
"14850000","Rorainópolis","RR",-0.8586,-60.52,15,"Telemetria",1
"150010701A","Abaetetuba","PA",-1.723155,-48.879321000000004,10,"CEMADEN",1
"150010702A","Abaetetuba","PA",-1.707738,-48.876747,10,"CEMADEN",2
"150010703A","Abaetetuba","PA",-1.724433,-48.864175,10,"CEMADEN",4
"150040401A","Alenquer","PA",-1.949501,-54.744331,10,"CEMADEN",3
"150040402A","Alenquer","PA",-1.941579,-54.718514,10,"CEMADEN",3
"150050302A","Almeirim","PA",-1.528711,-52.582183,10,"CEMADEN",5
"150060202A","Altamira","PA",-3.199942,-52.203749,10,"CEMADEN",6
"150060203A","Altamira","PA",-3.213881,-52.220173,10,"CEMADEN",5
"150085901A","Anapu","PA",-3.467739,-51.201888,10,"CEMADEN",2
"150100601A","Aveiro","PA",-3.604545,-55.330202,10,"CEMADEN",6
"150120401A","Baião","PA",-2.789,-49.673,10,"CEMADEN",7
"150140201A","Belãòm","PA",-1.067,-48.379,10,"CEMADEN",1
"150140203A","Belãòm","PA",-1.450385,-48.446255,10,"CEMADEN",4
"150140204A","Belãòm","PA",-1.449707,-48.482217,10,"CEMADEN",6
"150140206A","Belém","PA",-1.308735,-48.479847,10,"CEMADEN",2
"150140207A","Belém","PA",-1.164264,-48.468548,10,"CEMADEN",3
"150140208A","Belém","PA",-1.468867,-48.481624,10,"CEMADEN",1
"150140210A","Belém","PA",-1.422716,-48.468028,10,"CEMADEN",5
"150170901A","Bragança","PA",-1.060666,-46.783468,10,"CEMADEN",2
"150215201A","Canaã dos Carajás","PA",-6.5195099999999995,-49.85925,10,"CEMADEN",1
"150295401A","Eldorado dos Carajás","PA",-6.1032,-49.3719,10,"CEMADEN",4
"15030000","Manaus","AM",-3.0633,-59.6478,15,"Telemetria",2
"150350701A","Irituia","PA",-1.771,-47.437,10,"CEMADEN",3
"150350702A","Irituia","PA",-1.743,-47.502,10,"CEMADEN",5
"150360601A","Itaituba","PA",-4.26683,-55.991332,10,"CEMADEN",4
"150360602A","Itaituba","PA",-4.245494,-55.006391,10,"CEMADEN",1
"150380401A","Jacundá","PA",-4.446,-49.112,10,"CEMADEN",3
"150390301A","Juruti","PA",-2.150298,-56.081006,10,"CEMADEN",5
"150420801A","Marabá","PA",-5.354,-49.103,10,"CEMADEN",6
"150420802A","Marabá","PA",-5.3492,-49.13399999999999,10,"CEMADEN",2
"150420803A","Marabá","PA",-5.3705,-49.1323,10,"CEMADEN",2
"150420804A","Marabá","PA",-5.3284,-49.1043,10,"CEMADEN",2
"150420806A","Marabá","PA",-5.3011,-49.0801,10,"CEMADEN",6
"15043000","Jauru","MT",-15.0594,-58.9106,30,"Telemetria",3
"15044100","Pontes e Lacerda","MT",-15.1381,-58.9825,30,"Telemetria",2
"15046000","Pontes e Lacerda","MT",-15.2108,-59.0119,60,"Telemetria",2
"150480202A","Monte Alegre","PA",-1.992956,-54.079084,10,"CEMADEN",4
"150480203A","Monte Alegre","PA",-2.006856,-54.067632,10,"CEMADEN",2
"150497601A","Nova Ipixuna","PA",-4.911,-49.075,10,"CEMADEN",6
"15050001","Pontes e Lacerda","MT",-15.2153,-59.3539,15,"Telemetria",4
"150510602A","Óbidos","PA",-1.897123,-55.515946,10,"CEMADEN",1
"150540301A","Ourãòm","PA",-1.5518040000000002,-47.116684,10,"CEMADEN",1
"150553601A","Parauapebas","PA",-5.9953,-49.8894,10,"CEMADEN",2
"150553602A","Parauapebas","PA",-6.0914,-49.9045,10,"CEMADEN",3
"150553603A","Parauapebas","PA",-6.0915,-49.8682,10,"CEMADEN",3
"150553604A","Parauapebas","PA",-6.0557,-49.8867,10,"CEMADEN",6
