"estado","n","pct_transicao","f_moda_med"
"RS",368,51.9,0.5
"SE",33,30.3,0.7
"SC",471,27.8,0.5
"BA",299,21.1,0.7
"PR",273,9.2,0.8
"AL",69,1.4,0.8
"AM",104,1,0.6
"AC",31,0,0.8
"AP",17,0,0.9
"CE",152,0,0.9
"DF",20,0,1
"ES",198,0,0.9
"GO",178,0,1
"MA",147,0,0.7
"MG",693,0,0.9
"MS",107,0,0.9
"MT",216,0,0.9
"PA",126,0,0.75
"PB",62,0,0.9
"PE",333,0,0.8
"PI",80,0,0.9
"RJ",390,0,0.8
"RN",60,0,0.9
"RO",66,0,0.7
"RR",23,0,0.6
"SP",824,0,0.9
"TO",89,0,0.9
