"codigo","nome","estado","lat","long","network","year.size","is_sul","rbar","classe_rbar","confia_theta","theta","mes_oposto","mes_oposto_nome","mes_relatorio","mes_relatorio_nome","n_meses_secos","seco_frac","mes_artigo","mes_hibrido_rbar","fonte_hibrido_rbar","mes_hibrido_nome"
"1036013","Coruripe","AL",-10.1167,-36.1667,"Hidroweb diário",49,FALSE,0.6187390377497538,"alta (>=0.3)",TRUE,2.2030345014403556,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"1036062","Coruripe","AL",-10.0314,-36.3039,"Hidroweb diário",36,FALSE,0.5899384197072244,"alta (>=0.3)",TRUE,2.680973444829044,12,"dez",3,"mar",6,0.15,11,12,"theta_pi","dez"
"82989","Agua Branca","AL",-9.26,-37.94,"INMET diário",44,FALSE,0.41212712008493085,"alta (>=0.3)",TRUE,1.3954183763140757,9,"set",2,"fev",5,0.15,11,9,"theta_pi","set"
"82990","Pao de Acucar","AL",-9.75,-37.43,"INMET diário",42,FALSE,0.317122002515642,"alta (>=0.3)",TRUE,1.6331481213790648,10,"out",1,"jan",4,0.15,11,10,"theta_pi","out"
"82992","Palmeira dos Indios","AL",-9.42027777,-36.62027777,"INMET diário",47,FALSE,0.444791407363885,"alta (>=0.3)",TRUE,1.9882503828812357,10,"out",2,"fev",6,0.15,11,10,"theta_pi","out"
"82994","Maceio","AL",-9.55,-35.77,"INMET diário",51,FALSE,0.5605547840759512,"alta (>=0.3)",TRUE,2.4461211904652496,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"82996","Porto de Pedras","AL",-9.162012,-35.299881,"INMET diário",46,FALSE,0.5654886485833632,"alta (>=0.3)",TRUE,2.6132594526415405,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"835072","Colônia Leopoldina","AL",-8.9167,-35.7167,"Hidroweb diário",37,FALSE,0.6360142335936262,"alta (>=0.3)",TRUE,2.6761038792447955,12,"dez",2,"fev",5,0.15,10,12,"theta_pi","dez"
"835139","Jacuípe","AL",-8.8419,-35.4475,"Hidroweb diário",36,FALSE,0.6290274894028764,"alta (>=0.3)",TRUE,2.6480084264683446,12,"dez",1,"jan",5,0.15,12,12,"theta_pi","dez"
"935001","Flexeiras","AL",-9.2833,-35.7167,"Hidroweb diário",34,FALSE,0.5612784340271044,"alta (>=0.3)",TRUE,2.70768950727486,12,"dez",1,"jan",4,0.15,11,12,"theta_pi","dez"
"935004","Maceió","AL",-9.5511,-35.77,"Hidroweb diário",41,FALSE,0.5514990459920759,"alta (>=0.3)",TRUE,2.4777058124588036,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"935005","Maceió","AL",-9.5667,-35.7833,"Hidroweb diário",75,FALSE,0.6303985607193621,"alta (>=0.3)",TRUE,2.5069664581851576,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"935010","Maragogi","AL",-9.0167,-35.2333,"Hidroweb diário",31,FALSE,0.5495381144869322,"alta (>=0.3)",TRUE,2.1883002040255883,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"935011","Matriz de Camaragibe","AL",-9.1667,-35.5167,"Hidroweb diário",35,FALSE,0.6568515513789476,"alta (>=0.3)",TRUE,2.808121700424904,12,"dez",1,"jan",3,0.15,12,12,"theta_pi","dez"
"935012","Murici","AL",-9.3136,-35.9497,"Hidroweb diário",57,FALSE,0.6574084891433092,"alta (>=0.3)",TRUE,2.60682827148361,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"935013","Passo de Camaragibe","AL",-9.2333,-35.4833,"Hidroweb diário",40,FALSE,0.5392888869700028,"alta (>=0.3)",TRUE,2.4306329528677866,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"935016","Porto Calvo","AL",-9.0667,-35.4,"Hidroweb diário",49,FALSE,0.7655740770171896,"alta (>=0.3)",TRUE,2.7993254615760383,12,"dez",12,"dez",3,0.15,11,12,"theta_pi","dez"
"935023","Satuba","AL",-9.5833,-35.8167,"Hidroweb diário",33,FALSE,0.5046693582472904,"alta (>=0.3)",TRUE,2.562809586451778,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"935025","São Luís do Quitunde","AL",-9.3333,-35.55,"Hidroweb diário",47,FALSE,0.6488731362836504,"alta (>=0.3)",TRUE,2.56349343835594,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"935028","Porto de Pedras","AL",-9.2333,-35.35,"Hidroweb diário",34,FALSE,0.46946252636957986,"alta (>=0.3)",TRUE,2.201801255979063,11,"nov",1,"jan",4,0.15,12,11,"theta_pi","nov"
"935056","Rio Largo","AL",-9.4675,-35.8564,"Hidroweb diário",37,FALSE,0.6828430780064532,"alta (>=0.3)",TRUE,2.667465383943286,12,"dez",1,"jan",4,0.15,12,12,"theta_pi","dez"
"935057","Marechal Deodoro","AL",-9.7164,-35.8917,"Hidroweb diário",36,FALSE,0.6947552099095773,"alta (>=0.3)",TRUE,2.5968212868087237,11,"nov",1,"jan",5,0.15,11,11,"theta_pi","nov"
"936010","Atalaia","AL",-9.5167,-36.0167,"Hidroweb diário",77,FALSE,0.640316631485945,"alta (>=0.3)",TRUE,2.478383891403017,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936020","Junqueiro","AL",-9.9333,-36.4833,"Hidroweb diário",69,FALSE,0.46387244397201793,"alta (>=0.3)",TRUE,2.271885954173907,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936022","Lagoa da Canoa","AL",-9.8286,-36.5094,"Hidroweb diário",67,FALSE,0.4846919354853867,"alta (>=0.3)",TRUE,1.8312746788117886,10,"out",2,"fev",5,0.15,11,10,"theta_pi","out"
"936026","Limoeiro de Anadia","AL",-9.7436,-36.5038,"Hidroweb diário",81,FALSE,0.5064485146958405,"alta (>=0.3)",TRUE,2.303199084040706,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936028","Major Isidoro","AL",-9.5333,-36.9833,"Hidroweb diário",77,FALSE,0.5281838023757337,"alta (>=0.3)",TRUE,1.376377389844717,9,"set",1,"jan",5,0.15,11,9,"theta_pi","set"
"936031","Mar Vermelho","AL",-9.45,-36.3833,"Hidroweb diário",34,FALSE,0.47064335028747983,"alta (>=0.3)",TRUE,2.6785522776685515,12,"dez",2,"fev",5,0.15,12,12,"theta_pi","dez"
"936034","Palmeira dos Índios","AL",-9.4,-36.65,"Hidroweb diário",71,FALSE,0.463183176667669,"alta (>=0.3)",TRUE,1.8354268226310935,10,"out",2,"fev",5,0.15,11,10,"theta_pi","out"
"936041","Quebrangulo","AL",-9.3022,-36.4728,"Hidroweb diário",75,FALSE,0.47510154397710214,"alta (>=0.3)",TRUE,2.239081600492283,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936045","Santana do Mundaú","AL",-9.1667,-36.2167,"Hidroweb diário",35,FALSE,0.4293240399333204,"alta (>=0.3)",TRUE,2.3087932184854467,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936048","São Miguel dos Campos","AL",-9.7833,-36.1,"Hidroweb diário",64,FALSE,0.6962205477893131,"alta (>=0.3)",TRUE,2.5409518084758567,11,"nov",1,"jan",4,0.15,11,11,"theta_pi","nov"
"936049","Capela","AL",-9.3,-36.1333,"Hidroweb diário",33,FALSE,0.5827026121884756,"alta (>=0.3)",TRUE,2.379805155987793,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"936050","Traipu","AL",-9.9667,-36.9833,"Hidroweb diário",78,FALSE,0.38804827671079134,"alta (>=0.3)",TRUE,1.3083791242420397,9,"set",2,"fev",5,0.15,10,9,"theta_pi","set"
"936051","Traipu","AL",-9.9667,-36.9833,"Hidroweb diário",49,FALSE,0.35968081184680495,"alta (>=0.3)",TRUE,1.9496293261841977,10,"out",12,"dez",4,0.15,10,10,"theta_pi","out"
"936052","Tanque D'arca","AL",-9.5333,-36.4333,"Hidroweb diário",34,FALSE,0.4686457257329871,"alta (>=0.3)",TRUE,2.548596709010505,11,"nov",2,"fev",5,0.15,12,11,"theta_pi","nov"
"936053","União dos Palmares","AL",-9.1667,-36.05,"Hidroweb diário",72,FALSE,0.5930005124206104,"alta (>=0.3)",TRUE,2.5368739417178183,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936057","Viçosa","AL",-9.3833,-36.25,"Hidroweb diário",75,FALSE,0.4921753786842268,"alta (>=0.3)",TRUE,2.359333690951696,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936070","Anadia","AL",-9.6836,-36.3036,"Hidroweb diário",73,FALSE,0.5573728935601812,"alta (>=0.3)",TRUE,2.264913828942773,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936076","Traipu","AL",-9.9728,-37.0033,"Hidroweb diário",50,FALSE,0.48045980161924223,"alta (>=0.3)",TRUE,1.8297004807742405,10,"out",1,"jan",4,0.15,11,10,"theta_pi","out"
"936110","Atalaia","AL",-9.5072,-36.0233,"Hidroweb diário",36,FALSE,0.653692118912489,"alta (>=0.3)",TRUE,2.515390613703338,11,"nov",2,"fev",5,0.15,11,11,"theta_pi","nov"
"936111","Viçosa","AL",-9.3792,-36.2492,"Hidroweb diário",35,FALSE,0.4678024835457357,"alta (>=0.3)",TRUE,2.6997683775259116,12,"dez",2,"fev",5,0.15,11,12,"theta_pi","dez"
"936112","São José da Laje","AL",-9.0042,-36.0511,"Hidroweb diário",32,FALSE,0.47449872442986746,"alta (>=0.3)",TRUE,2.2897335721109626,11,"nov",1,"jan",5,0.15,12,11,"theta_pi","nov"
"936113","União dos Palmares","AL",-9.1544,-36.0358,"Hidroweb diário",34,FALSE,0.43406169238222164,"alta (>=0.3)",TRUE,2.4068695751335616,11,"nov",2,"fev",6,0.15,11,11,"theta_pi","nov"
"936114","Santana do Mundaú","AL",-9.1689,-36.2197,"Hidroweb diário",35,FALSE,0.39291519159375093,"alta (>=0.3)",TRUE,2.5026727468337984,11,"nov",12,"dez",3,0.15,11,11,"theta_pi","nov"
