"n","rbar_med","pct_rbar_ge_limiar","pct_fonte_theta_pi","pct_fonte_ultimo_seco","recorte"
5427,0.5903824468374449,81.4,81.4,18.6,"Brasil"
990,0.1385764962193754,10.2,10.2,89.8,"Sul_RS_SC_PR"
