"estado","n_avaliadas","n_aprovadas"
"RS",251,26
"MG",374,21
"SP",511,14
"PB",44,12
"PE",244,11
"PR",174,8
"SC",283,7
"AL",59,6
"ES",105,3
"RJ",207,3
"GO",102,2
"SE",21,2
"AM",52,1
"BA",143,1
"DF",9,1
"MS",59,1
"MT",80,1
"RN",37,1
"RR",22,1
"AC",16,0
"AP",9,0
"CE",83,0
"MA",100,0
"PA",70,0
"PI",56,0
"RO",31,0
"TO",36,0
