"gauge_code","d","imax","date","wateryear","start_month","na_prct_yr","na_prct_mon","mon_filter","n_max","time_step_min","estado","lat","long","time_step","mes_inicio","mes_inicio_nome","network","classe_espacial","fonte_inicio","metodo_ano_hidro","f_moda","rbar_local","dist_nn_km"
"12370000",15,7.146666666666667,"2019-03-06 04:00:00",2019,7,0.008690147329650092,0.029905913978494625,"1,2,3,4,5,6,7,8,9,10,11,12",33,900,"AC",-8.9458,-72.7847,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,1.17
"12370000",15,6.320000000000001,"2020-02-21 21:45:00",2020,7,0.12807377049180327,0.022988505747126436,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.9458,-72.7847,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,1.17
"12370000",15,6.733333333333334,"2020-10-20 16:00:00",2021,7,0.22022192028985507,0.003696236559139785,"1,2,3,4,5,6,7,8,9,10,11,12",33,900,"AC",-8.9458,-72.7847,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,1.17
"12500000",15,6.746666666666669,"2024-01-31 09:30:00",2024,8,0.002543035993740219,0.009408602150537635,"1,2,3,4,5,6,7,8,9,10,11,12",9,900,"AC",-7.6333,-72.6603,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,3.39
"12500000",15,3.826666666666666,"2024-12-04 11:15:00",2025,8,6.808278867102397e-4,3.360215053763441e-4,"1,2,3,4,5,6,7,8,9,10,11,12",24,900,"AC",-7.6333,-72.6603,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,3.39
"12510500",15,6.066666666666667,"2014-03-16 17:45:00",2014,8,0.011841588050314466,0.025201612903225805,"1,2,3,4,5,6,7,8,9,10,11,12",20,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,7.546666666666666,"2015-03-05 19:45:00",2015,8,0.0032248858447488584,0,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,5.4266666666666685,"2016-04-16 00:15:00",2016,8,0.006318306010928962,0.015625,"1,2,3,4,5,6,7,8,9,10,11,12",22,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,9.786666666666662,"2016-10-09 04:30:00",2017,8,0.602054794520548,0.0016801075268817205,"1,2,3,4,5,6,7,8,9,10,11,12",26,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,NA,NA,2018,8,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,NA,NA,2019,8,1,NA,"1,2,3,4,5,6,7,8,9,10,11,12",0,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,4.16,"2020-02-06 14:45:00",2020,8,0.41808970856102,0,"1,2,3,4,5,6,7,8,9,10,11,12",33,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12510500",15,12.239999999999993,"2020-12-27 07:30:00",2021,8,0.004765795206971677,0.006720430107526882,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-7.7994,-72.0211,15,8,"ago","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,5.65
"12590000",15,4.746666666666667,"2014-01-30 06:30:00",2014,7,0.009668508287292817,0.025537634408602152,"1,2,3,4,5,6,7,8,9,10,11,12",22,900,"AC",-8.1519,-70.7456,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,2.72
"12590000",15,11.813333333333327,"2015-02-24 22:00:00",2015,7,0.0025970319634703197,0.0033482142857142855,"1,2,3,4,5,6,7,8,9,10,11,12",22,900,"AC",-8.1519,-70.7456,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,2.72
"12590000",15,6.480000000000001,"2015-08-11 20:30:00",2016,7,0.5214879326047359,0,"1,2,3,4,5,6,7,8,9,10,11,12",28,900,"AC",-8.1519,-70.7456,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,2.72
"12590000",15,4.746666666666667,"2017-01-01 01:00:00",2017,7,0.5057933789954338,0,"1,2,3,4,5,6,7,8,9,10,11,12",7,900,"AC",-8.1519,-70.7456,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,2.72
"12590000",15,7.413333333333333,"2017-12-30 23:00:00",2018,7,9.057971014492754e-4,0.0013440860215053765,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.1519,-70.7456,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.5,0.966,2.72
"12640000",15,7.6133333333333315,"2014-03-18 11:15:00",2014,7,0.009898710865561695,0.024193548387096774,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.6858,-70.5511,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,61.86
"12640000",15,9.42666666666667,"2014-10-31 21:00:00",2015,7,0.4968036529680365,0.006720430107526882,"1,2,3,4,5,6,7,8,9,10,11,12",32,900,"AC",-8.6858,-70.5511,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,61.86
"12640000",15,8.10666666666667,"2016-02-01 05:45:00",2016,7,0.5463627049180327,0.039511494252873564,"1,2,3,4,5,6,7,8,9,10,11,12",6,900,"AC",-8.6858,-70.5511,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,61.86
"12640000",15,7.986666666666673,"2016-10-27 13:45:00",2017,7,5.661231884057971e-4,0.0013440860215053765,"1,2,3,4,5,6,7,8,9,10,11,12",1,900,"AC",-8.6858,-70.5511,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.6,0.967,61.86
"13169900",15,5.893333333333334,"2023-01-05 08:30:00",2023,7,0.004604051565377533,0.01478494623655914,"1,2,3,4,5,6,7,8,9,10,11,12",18,900,"AC",-9.4342,-70.4942,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.7,0.961,141.86
"13169900",15,8.573333333333332,"2023-10-09 14:00:00",2024,7,0.010643115942028986,0,"1,2,3,4,5,6,7,8,9,10,11,12",9,900,"AC",-9.4342,-70.4942,15,7,"jul","Telemetria","mancha","moda_mancha","uniplu_vizinhanca",0.7,0.961,141.86
